浦东,黄浦,徐汇,长宁,静安,普陀,虹口,杨浦,闵行,宝山,嘉定,金山,松江,青浦,奉贤,崇明
1660,275,294,108,78,111,29,91,680,485,108,30,211,63,63,191
298,70,95,12,16,29,54,6,81,18,41,3,27,9,60,2
5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
173,5,17,42,3,4,8,3,52,4,6,3,4,0,5,1
2080,92,184,179,147,5,96,156,273,5,36,38,146,73,173,27
147,22,22,34,13,4,24,13,60,8,11,1,33,21,5,16
2,0,2,,0,2,0,0,0,0,2,0,0,,0,0
77,5,35,,11,11,3,10,57,9,7,3,19,,2,1
2426,238,385,32,147,198,43,106,833,16,164,46,453,76,156,83
79,17,217,5,31,34,15,17,153,19,27,0,21,11,3,0
4,3,2,0,0,0,1,0,0,1,3,,1,0,1,0
95,21,35,3,24,35,24,16,39,28,18,,3,3,5,0
1825,485,744,81,261,290,174,233,692,396,536,60,548,192,146,110
105,147,254,12,37,59,138,22,82,54,55,0,11,36,3,0
3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
126,10,27,13,25,21,9,29,46,22,9,4,0,2,3,1
3308,773,393,84,264,243,157,314,812,371,383,92,234,224,105,163
206,37,72,6,45,57,20,30,60,64,18,7,23,5,10,1
6,1,0,0,0,1,2,1,1,0,1,0,1,0,0,
197,7,8,1,1,3,3,9,8,1,3,1,5,1,2,
6518,933,1193,30,44,240,594,200,1339,262,229,50,544,309,60,47
348,29,28,2,5,10,9,10,31,2,4,1,9,4,2,0
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
155,13,19,5,11,6,7,10,14,5,5,1,8,6,2,0
7752,607,827,73,273,467,393,586,2863,533,466,76,750,376,138,76
231,35,70,5,17,9,9,26,51,14,4,0,32,2,4,1
4,2,0,0,1,1,0,3,0,0,0,0,1,0,,
139,7,16,30,25,26,1,9,20,9,5,3,1,4,,
7955,996,1059,305,501,990,613,598,2354,634,1375,74,775,464,272,62
351,39,29,14,17,16,54,20,34,17,27,2,4,2,6,1
1,0,0,0,0,0,0,0,1,0,0,0,93,0,26,0
251,6,12,11,5,6,8,8,60,4,5,1,2,0,1,0
8319,1321,2022,812,352,925,557,559,2131,401,905,51,638,486,60,259
424,45,11,11,7,21,11,13,31,4,5,6,6,3,1,1
133,0,56,0,2,1,0,0,0,1,12,0,87,9,0,0
172,7,20,9,23,8,2,5,23,6,3,2,4,7,1,2
6622,2532,1314,591,598,1026,355,671,2753,2777,1362,40,648,316,83,165
316,34,201,3,25,47,5,18,39,15,27,5,15,2,2,2
92,59,0,6,3,0,0,0,37,2,7,20,0,0,0,2
380,31,28,17,21,20,5,19,31,23,6,1,1,2,1,1
10312,444,1056,716,559,614,306,1040,4490,2211,341,21,482,547,106,167
301,3,50,15,18,15,31,8,46,14,7,3,8,1,0,0
82,12,18,0,0,0,0,54,46,3,45,14,282,0,8,
127,20,26,4,27,6,6,7,46,16,4,1,9,1,3,
6169,1564,2922,376,560,942,1206,1804,3047,1804,1324,38,1530,868,23,53
351,161,235,6,14,52,26,12,40,14,10,4,4,8,4,2
286,87,3,9,0,0,4,0,12,0,22,0,13,0,0,3
144,10,14,5,9,16,14,12,37,3,12,0,3,3,0,0
7537,2057,1678,364,517,1815,1344,1382,2911,968,151,32,658,316,64,50
276,49,45,4,15,26,6,8,28,9,14,3,12,8,0,1
86,59,41,68,27,30,71,52,257,2,30,2,73,53,0,16
104,14,14,22,46,19,12,8,20,14,1,1,3,7,1,13
10539,1673,1020,1036,913,1057,827,1091,3947,265,932,34,629,456,30,51
318,57,32,7,68,63,21,8,18,14,12,2,6,7,2,6
1024,203,124,94,36,32,104,51,295,1,42,12,122,53,1,6
114,13,18,11,13,11,16,3,34,11,4,0,4,5,1,1
13448,1147,1320,841,160,401,1366,1130,2554,632,663,22,519,219,79,47
440,34,29,11,11,29,1,1,13,6,4,0,7,1,2,9
1015,258,126,135,61,27,134,46,259,29,98,21,174,122,17,25
159,6,46,13,9,18,40,1,14,19,4,2,4,6,2,3
10193,1715,984,837,184,208,749,767,2095,366,600,5,577,172,13,29
211,30,65,13,12,11,7,2,9,1,3,0,6,4,2,2
924,232,91,55,82,44,101,124,71,18,163,21,195,121,21,48
200,8,17,43,9,21,1,4,32,3,4,0,3,9,2,1
8811,1120,1388,486,322,341,1207,1134,1727,1248,558,10,567,394,81,34
329,18,24,33,19,19,3,2,9,1,10,0,8,11,2,7
390,169,142,113,125,123,121,78,225,40,73,4,83,41,20,7
136,13,27,11,18,21,36,5,16,7,8,0,3,3,0,3
9499,1352,1342,566,986,1163,869,775,2167,1235,577,12,322,256,27,19
290,25,20,13,5,23,1,1,3,7,5,0,1,3,1,17
459,165,46,46,114,69,135,15,65,70,48,4,150,14,1,8
40,15,14,16,10,15,22,6,3,7,4,0,0,2,0,1
7029,1655,1346,658,710,878,900,856,2275,1361,614,18,744,345,14,22
190,55,40,19,5,17,0,5,21,4,8,1,8,7,5,21
633,322,35,69,179,13,120,57,141,94,62,3,123,42,1,0
54,35,16,15,21,7,30,1,6,9,6,0,1,12,0,3
7582,2878,483,480,803,349,853,415,1050,823,513,4,570,165,12,18
